query; baselineQuery; nlQuery; mlQuery
"SELECT t.""average_rating"", tn.""title_name"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE tg.""title_id"" > '241' AND t.""title_id"" BETWEEN '47' AND '55' OR t.""release_date_id"" <= '548';";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns average_rating and title_name. Only return the data for which title_id is greater than '241', title_id is is between 47 and 55, release_date_id is smaller or equal than '548' is true.   ;Find the average ratings and the name of titles for all titles [MASK] the title-id is larger than '241', the title-id is between 47 and 55, the release year id is smaller or the same as '548'. ;
"SELECT pe.""deathhyear_id"", y.""year_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""deathhyear_id"" IS NOT NULL AND y.""year"" < '1883';";Form the intersection that contains the corresponding entries of the tables person and year. Return the columns deathhyear_id and year_id. Only return the data for which deathhyear_id undefined, year is smaller than '1883' is true.   ;Find the deathyear-ids and the year-ids for all persons [MASK] the deathyear-id undefined, the year is smaller than '1883'. ;
"SELECT tn.""title_name_id"", lo.""language_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" INNER JOIN imdb2.""region"" as r ON lo.""region_id"" = r.""region_id"" WHERE t.""average_rating"" >= '4.9' OR lo.""localization_id"" BETWEEN '259' AND '20';";Form the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization and the intersection that contains the corresponding entries of the tables localization and region. Return the columns title_name_id and language_id. Only return the data for which average_rating is greater or equal than '4.9', localization_id is is between 259 and 20 is true.   ;Find the title-name-ids and the language-ids for all titles [MASK] the average rating is greater or the same as '4.9', the localization-id is between 259 and 20. ;
"SELECT t.""title_id"", t.""title_name_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" WHERE t.""title_name_id"" = '2122285' OR t.""average_rating"" IS NOT NULL;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and year. Return the columns title_id and title_name_id. Only return the data for which title_name_id equals '2122285', average_rating undefined is true.   ;Find the title-ids and the title-name-ids for all titles [MASK] the title-name-id is '2122285', the average rating undefined. ;
"SELECT t.""release_date_id"", t.""is_adult"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE pe.""deathhyear_id"" IS NULL AND pe.""person_id"" > '458' AND pe.""name_id"" < '2482059';";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns release_date_id and is_adult. Only return the data for which deathhyear_id undefined, person_id is greater than '458', name_id is smaller than '2482059' is true.   ;Find the release year ids and the wether or not the title is rated adult for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and [MASK] corresponding title_name [MASK] [MASK] the deathyear-id undefined, the person-id is larger than '458', the name-id is smaller than '2482059'. ;
"SELECT t.""title_name_id"", t.""runtime_minutes"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" INNER JOIN imdb2.""language"" as l ON lo.""language_id"" = l.""language_id"" WHERE t.""is_adult"" = 'false' OR t.""format_id"" = '7' OR tn.""title_name"" = '2003年3月15日 のエピソード' OR lo.""title_name_id"" IS NULL;";Form the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization and the intersection that contains the corresponding entries of the tables localization and language. Return the columns title_name_id and runtime_minutes. Only return the data for which is_adult equals 'false', format_id equals '7', title_name equals '2003年3月15日 のエピソード', title_name_id undefined is true.   ;Find the title-name-ids and the runtime for all titles [MASK] the wether or not the title is rated adult is 'false', the format-id is '7', the name of title is '2003年3月15日 のエピソード', the title-name-id undefined. ;
"SELECT g.""genre"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_genre"" as tg ON t.""title_id"" = tg.""title_id"" INNER JOIN imdb2.""genre"" as g ON tg.""genre_id"" = g.""genre_id"" WHERE pe.""deathhyear_id"" IS NULL OR t.""vote_amount"" < '1062' OR t.""title_id"" >= '91' OR tg.""title_id"" BETWEEN '28' AND '9';";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_genre and the intersection that contains the corresponding entries of the tables title_genre and genre. Return the column genre. Only return the data for which deathhyear_id undefined, vote_amount is smaller than '1062', title_id is greater or equal than '91', title_id is is between 28 and 9 is true.   ;Find the film genres for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and genre [MASK] [MASK] the deathyear-id undefined, the number of votes is smaller than '1062', the title-id is greater or the same as '91', the title-id is between 28 and 9. ;
"SELECT pe.""name_id"", y.""year"", y.""year_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""deathhyear_id"" IS NOT NULL OR pe.""person_id"" >= '388' OR pe.""name_id"" <= '6120634' OR y.""year_id"" <> '51';";Form the intersection that contains the corresponding entries of the tables person and year. Return the columns name_id, year and year_id. Only return the data for which deathhyear_id undefined, person_id is greater or equal than '388', name_id is smaller or equal than '6120634', year_id doesn't equal '51' is true.   ;Find the name-ids, the years and the year-ids for all persons [MASK] the deathyear-id undefined, the person-id is greater or the same as '388', the name-id is smaller or the same as '6120634', the year-id is not '51'. ;
"SELECT pe.""person_id"", pe.""deathhyear_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""deathhyear_id"" IS NULL OR pe.""person_id"" > '451' OR y.""year_id"" <= '0' AND y.""year"" > '570';";Form the intersection that contains the corresponding entries of the tables person and year. Return the columns person_id and deathhyear_id. Only return the data for which deathhyear_id undefined, person_id is greater than '451', year_id is smaller or equal than '0', year is greater than '570' is true.   ;Find the person-ids and the deathyear-ids for all persons [MASK] the deathyear-id undefined, the person-id is larger than '451', the year-id is smaller or the same as '0', the year is larger than '570'. ;
"SELECT pe.""deathhyear_id"", n.""name"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""name"" as n ON pe.""name_id"" = n.""name_id"" WHERE pe.""person_id"" = '163' AND pe.""name_id"" >= '7988515' OR n.""name"" <> 'Svetlana Purgina';";Form the intersection that contains the corresponding entries of the tables person and name. Return the columns deathhyear_id and name. Only return the data for which person_id equals '163', name_id is greater or equal than '7988515', name doesn't equal 'Svetlana Purgina' is true.   ;Find the deathyear-ids and the names for all persons [MASK] the person-id is '163', the name-id is greater or the same as '7988515', the name is not 'Svetlana Purgina'. ;
